anchor,positive,negative
"Ngành Quản trị kinh doanh có học môn Khởi nghiệp kinh doanh không?","Ngành Quản trị kinh doanh học môn Khởi nghiệp kinh doanh trong Học Kỳ Thứ 5 và Thứ 6.","Ngành Quản trị kinh doanh không học môn Khởi nghiệp kinh doanh."
"Ngành Quản trị kinh doanh có học môn Quản trị chiến lược trong doanh nghiệp mỏ không?","Ngành Quản trị kinh doanh học môn Quản trị chiến lược trong doanh nghiệp mỏ trong Học Kỳ Thứ 6.","Ngành Quản trị kinh doanh không học môn Quản trị chiến lược trong doanh nghiệp mỏ."
"Ngành Quản trị kinh doanh có học môn Kinh tế môi trường không?","Ngành Quản trị kinh doanh học môn Kinh tế môi trường trong Học Kỳ Thứ 5.","Ngành Quản trị kinh doanh không học môn Kinh tế môi trường."
"Ngành Quản trị kinh doanh có học môn Quản trị chất lượng không?","Ngành Quản trị kinh doanh học môn Quản trị chất lượng trong Học Kỳ Thứ 5.","Ngành Quản trị kinh doanh không học môn Quản trị chất lượng."
"Ngành Quản trị kinh doanh học những môn gì trong Học Kỳ Thứ 7?","Trong Học Kỳ Thứ 7, ngành Quản trị kinh doanh học Đồ án Quản trị kinh doanh trong DN dầu khí, Phân tích kinh tế trong DN Dầu khí, Kế toán tài chính doanh nghiệp, Đồ án phân tích kinh tế hoạt động kinh doanh của doanh nghiệp công nghiệp mỏ, Quản trị quan hệ khách hàng, Quản trị dự án TMĐT.","Trong Học Kỳ Thứ 7, ngành Quản trị kinh doanh học các môn chuyên ngành về Quản trị nhân lực và Quản trị sản xuất."
"Ngành Quản trị kinh doanh học những môn gì trong Học Kỳ Thứ 8?","Trong Học Kỳ Thứ 8, ngành Quản trị kinh doanh học Thực tập doanh nghiệp và Đồ án tốt nghiệp.","Trong Học Kỳ Thứ 8, ngành Quản trị kinh doanh học các môn về Quản trị marketing và tài chính."
"Ngành Tài chính - Ngân hàng học những môn gì trong Học Kỳ Thứ 1?","Trong Học Kỳ Thứ 1, ngành Tài chính - Ngân hàng học Toán cao cấp 1, Giáo dục thể chất 1, Triết học Mác - Lênin, Kinh tế chính trị Mác - Lênin, Tin học đại cương + TH (khối kinh tế).","Trong Học Kỳ Thứ 1, ngành Tài chính - Ngân hàng học các môn về tài chính doanh nghiệp và kế toán."
"Ngành Tài chính - Ngân hàng học những môn gì trong Học Kỳ Thứ 2?","Trong Học Kỳ Thứ 2, ngành Tài chính - Ngân hàng học Xác suất thống kê, Tiếng Anh 1, Giáo dục thể chất 2, Pháp luật đại cương, Chủ nghĩa xã hội khoa học, Tự chọn A (Tài chính - Ngân hàng).","Trong Học Kỳ Thứ 2, ngành Tài chính - Ngân hàng học các môn về quản lý tài chính và ngân hàng."
"Ngành Tài chính - Ngân hàng học những môn gì trong Học Kỳ Thứ 3?","Trong Học Kỳ Thứ 3, ngành Tài chính - Ngân hàng học Tiếng Anh 2, Giáo dục thể chất 3, Tư tưởng Hồ Chí Minh, Lịch sử Đảng Cộng sản Việt Nam, Kinh tế lượng, Kinh tế vĩ mô.","Trong Học Kỳ Thứ 3, ngành Tài chính - Ngân hàng học các môn chuyên ngành về tài chính quốc tế và ngân hàng."
"Ngành Tài chính - Ngân hàng học những môn gì trong Học Kỳ Thứ 4?","Trong Học Kỳ Thứ 4, ngành Tài chính - Ngân hàng học Luật Kinh tế, Nguyên lý thống kê, Marketing căn bản, Quản trị học, Nguyên lý kế toán, Tài chính tiền tệ.","Trong Học Kỳ Thứ 4, ngành Tài chính - Ngân hàng học các môn chuyên sâu về tài chính doanh nghiệp và kế toán quản trị."
"Ngành Tài chính - Ngân hàng học những môn gì trong Học Kỳ Thứ 5?","Trong Học Kỳ Thứ 5, ngành Tài chính - Ngân hàng học Kế toán tài chính doanh nghiệp, Lý thuyết tài chính, Thanh toán quốc tế, Thị trường chứng khoán, Thuế, Tài chính doanh nghiệp 1.","Trong Học Kỳ Thứ 5, ngành Tài chính - Ngân hàng học các môn về ngân hàng và thị trường tài chính."
"Ngành Tài chính - Ngân hàng học những môn gì trong Học Kỳ Thứ 6?","Trong Học Kỳ Thứ 6, ngành Tài chính - Ngân hàng học Kế toán quản trị, Kiểm toán căn bản, Tài chính doanh nghiệp 2, Ngân hàng thương mại, Thực tập nghiệp vụ Tài chính - Ngân hàng, Thị trường tài chính.","Trong Học Kỳ Thứ 6, ngành Tài chính - Ngân hàng học các môn về quản trị tài chính và ngân hàng thương mại."
"Ngành Tài chính - Ngân hàng học những môn gì trong Học Kỳ Thứ 7?","Trong Học Kỳ Thứ 7, ngành Tài chính - Ngân hàng học Tin học ứng dụng trong kinh tế, Định giá doanh nghiệp, Phân tích tài chính doanh nghiệp, Quản trị rủi ro tài chính, Tài chính quốc tế.","Trong Học Kỳ Thứ 7, ngành Tài chính - Ngân hàng học các môn về phân tích tài chính và quản trị ngân hàng."
"Ngành Tài chính - Ngân hàng học những môn gì trong Học Kỳ Thứ 8?","Trong Học Kỳ Thứ 8, ngành Tài chính - Ngân hàng học Thực tập doanh nghiệp và Đồ án tốt nghiệp.","Trong Học Kỳ Thứ 8, ngành Tài chính - Ngân hàng học các môn về Quản trị tài chính và ngân hàng."
"Ngành Quản trị kinh doanh có học môn Đồ án Quản trị kinh doanh trong DN dầu khí không?","Ngành Quản trị kinh doanh học môn Đồ án Quản trị kinh doanh trong DN dầu khí trong Học Kỳ Thứ 7.","Ngành Quản trị kinh doanh không học môn Đồ án Quản trị kinh doanh trong DN dầu khí."
"Ngành Quản trị kinh doanh có học môn Quản trị quan hệ khách hàng không?","Ngành Quản trị kinh doanh học môn Quản trị quan hệ khách hàng trong Học Kỳ Thứ 7.","Ngành Quản trị kinh doanh không học môn Quản trị quan hệ khách hàng."
"Ngành Tài chính - Ngân hàng có học môn Kế toán tài chính doanh nghiệp không?","Ngành Tài chính - Ngân hàng học môn Kế toán tài chính doanh nghiệp trong Học Kỳ Thứ 4 và Thứ 5.","Ngành Tài chính - Ngân hàng không học môn Kế toán tài chính doanh nghiệp."
"Ngành Tài chính - Ngân hàng có học môn Tài chính doanh nghiệp 1 không?","Ngành Tài chính - Ngân hàng học môn Tài chính doanh nghiệp 1 trong Học Kỳ Thứ 5.","Ngành Tài chính - Ngân hàng không học môn Tài chính doanh nghiệp 1."
"Ngành Tài chính - Ngân hàng có học môn Thanh toán quốc tế không?","Ngành Tài chính - Ngân hàng học môn Thanh toán quốc tế trong Học Kỳ Thứ 5.","Ngành Tài chính - Ngân hàng không học môn Thanh toán quốc tế."
"Ngành Tài chính - Ngân hàng có học môn Thị trường chứng khoán không?","Ngành Tài chính - Ngân hàng học môn Thị trường chứng khoán trong Học Kỳ Thứ 5.","Ngành Tài chính - Ngân hàng không học môn Thị trường chứng khoán."
"Ngành Tài chính - Ngân hàng có học môn Kế toán quản trị không?","Ngành Tài chính - Ngân hàng học môn Kế toán quản trị trong Học Kỳ Thứ 6.","Ngành Tài chính - Ngân hàng không học môn Kế toán quản trị."
"Ngành Tài chính - Ngân hàng có học môn Kiểm toán căn bản không?","Ngành Tài chính - Ngân hàng học môn Kiểm toán căn bản trong Học Kỳ Thứ 6.","Ngành Tài chính - Ngân hàng không học môn Kiểm toán căn bản."
"Ngành Tài chính - Ngân hàng có học môn Tài chính quốc tế không?","Ngành Tài chính - Ngân hàng học môn Tài chính quốc tế trong Học Kỳ Thứ 7.","Ngành Tài chính - Ngân hàng không học môn Tài chính quốc tế."
"Ngành Tài chính - Ngân hàng có học môn Định giá doanh nghiệp không?","Ngành Tài chính - Ngân hàng học môn Định giá doanh nghiệp trong Học Kỳ Thứ 7.","Ngành Tài chính - Ngân hàng không học môn Định giá doanh nghiệp."
"Ngành Tài chính - Ngân hàng có học môn Quản trị rủi ro tài chính không?","Ngành Tài chính - Ngân hàng học môn Quản trị rủi ro tài chính trong Học Kỳ Thứ 7.","Ngành Tài chính - Ngân hàng không học môn Quản trị rủi ro tài chính."
"Ngành Quản trị kinh doanh có học môn Thực tập doanh nghiệp không?","Ngành Quản trị kinh doanh học môn Thực tập doanh nghiệp trong Học Kỳ Thứ 8.","Ngành Quản trị kinh doanh không học môn Thực tập doanh nghiệp."
"Ngành Tài chính - Ngân hàng có học môn Thực tập nghiệp vụ Tài chính - Ngân hàng không?","Ngành Tài chính - Ngân hàng học môn Thực tập nghiệp vụ Tài chính - Ngân hàng trong Học Kỳ Thứ 6.","Ngành Tài chính - Ngân hàng không học môn Thực tập nghiệp vụ Tài chính - Ngân hàng."
"Ngành Quản trị kinh doanh có học môn Quản trị dự án TMĐT không?","Ngành Quản trị kinh doanh học môn Quản trị dự án TMĐT trong Học Kỳ Thứ 7.","Ngành Quản trị kinh doanh không học môn Quản trị dự án TMĐT."
"Ngành Quản trị kinh doanh có học môn Đồ án tốt nghiệp không?","Ngành Quản trị kinh doanh học môn Đồ án tốt nghiệp trong Học Kỳ Thứ 8.","Ngành Quản trị kinh doanh không học môn Đồ án tốt nghiệp."
"Ngành Tài chính - Ngân hàng có học môn Thị trường tài chính không?","Ngành Tài chính - Ngân hàng học môn Thị trường tài chính trong Học Kỳ Thứ 6.","Ngành Tài chính - Ngân hàng không học môn Thị trường tài chính."
"Ngành Tài chính - Ngân hàng có học môn Quản trị tài chính không?","Ngành Tài chính - Ngân hàng học môn Quản trị tài chính trong Học Kỳ Thứ 7.","Ngành Tài chính - Ngân hàng không học môn Quản trị tài chính."
"Ngành Kế toán học những môn gì trong Học Kỳ Thứ 1?","Trong Học Kỳ Thứ 1, ngành Kế toán học Toán cao cấp 1, Giáo dục thể chất 1, Triết học Mác - Lênin, Kinh tế chính trị Mác - Lênin, Tin học đại cương + TH (khối kinh tế).","Trong Học Kỳ Thứ 1, ngành Kế toán học các môn về kế toán tài chính và quản trị."
"Ngành Kế toán học những môn gì trong Học Kỳ Thứ 2?","Trong Học Kỳ Thứ 2, ngành Kế toán học Xác suất thống kê, Tiếng Anh 1, Giáo dục thể chất 2, Pháp luật đại cương, Chủ nghĩa xã hội khoa học.","Trong Học Kỳ Thứ 2, ngành Kế toán học các môn về kế toán quản trị và kiểm toán."
"Ngành Kế toán học những môn gì trong Học Kỳ Thứ 3?","Trong Học Kỳ Thứ 3, ngành Kế toán học Tiếng Anh 2, Giáo dục thể chất 3, Tư tưởng Hồ Chí Minh, Lịch sử Đảng Cộng sản Việt Nam, Kinh tế lượng, Kinh tế vi mô, Kinh tế vĩ mô.","Trong Học Kỳ Thứ 3, ngành Kế toán học các môn về tài chính doanh nghiệp và thuế."
"Ngành Kế toán học những môn gì trong Học Kỳ Thứ 4?","Trong Học Kỳ Thứ 4, ngành Kế toán học Luật Kinh tế, Nguyên lý thống kê, Marketing căn bản, Quản trị học, Nguyên lý kế toán, Tài chính tiền tệ.","Trong Học Kỳ Thứ 4, ngành Kế toán học các môn về phân tích tài chính và kiểm toán."
"Ngành Kế toán học những môn gì trong Học Kỳ Thứ 5?","Trong Học Kỳ Thứ 5, ngành Kế toán học Lý thuyết tiền tệ, Tài chính doanh nghiệp, Thị trường chứng khoán, Thuế, Đồ án nguyên lý kế toán, Kế toán tài chính 1, Lý thuyết kế toán công, Lý thuyết tài chính công.","Trong Học Kỳ Thứ 5, ngành Kế toán học các môn về kiểm toán và quản lý thuế."
"Ngành Kế toán học những môn gì trong Học Kỳ Thứ 6?","Trong Học Kỳ Thứ 6, ngành Kế toán học Kế toán quản trị, Kiểm toán căn bản, Đồ án kế toán quản trị, Kế toán tài chính 2, Kế toán thương mại dịch vụ, Kế toán nghiệp vụ kế toán, Thực tập hành chính sự nghiệp, Thực tập nghiệp vụ kế toán tại các đơn vị công, Tổ chức quản lý thuế.","Trong Học Kỳ Thứ 6, ngành Kế toán học các môn về kế toán tài chính và thuế."
"Ngành Kế toán học những môn gì trong Học Kỳ Thứ 7?","Trong Học Kỳ Thứ 7, ngành Kế toán học Tin học ứng dụng trong kinh tế, Phân tích kinh tế hoạt động kinh doanh, Đồ án kế toán tài chính 2, Kế toán máy, Tổ chức công tác kế toán trong doanh nghiệp, Đồ án kế toán công, Kế toán đơn vị công trên máy, Kế toán ngân sách nhà nước, Quản lý tài chính công trong đơn vị công.","Trong Học Kỳ Thứ 7, ngành Kế toán học các môn về kế toán quản trị và kiểm toán."
"Ngành Kế toán học những môn gì trong Học Kỳ Thứ 8?","Trong Học Kỳ Thứ 8, ngành Kế toán học Đồ án tốt nghiệp và Thực tập doanh nghiệp.","Trong Học Kỳ Thứ 8, ngành Kế toán học các môn về kế toán tài chính và kế toán công."
"Ngành Kế toán có học môn Kế toán tài chính 1 không?","Ngành Kế toán học môn Kế toán tài chính 1 trong Học Kỳ Thứ 5.","Ngành Kế toán không học môn Kế toán tài chính 1."
"Ngành Kế toán có học môn Kế toán tài chính 2 không?","Ngành Kế toán học môn Kế toán tài chính 2 trong Học Kỳ Thứ 6 và Thứ 7.","Ngành Kế toán không học môn Kế toán tài chính 2."
"Ngành Kế toán có học môn Kế toán quản trị không?","Ngành Kế toán học môn Kế toán quản trị trong Học Kỳ Thứ 6.","Ngành Kế toán không học môn Kế toán quản trị."
"Ngành Kế toán có học môn Kiểm toán căn bản không?","Ngành Kế toán học môn Kiểm toán căn bản trong Học Kỳ Thứ 6.","Ngành Kế toán không học môn Kiểm toán căn bản."
"Ngành Kế toán có học môn Thị trường chứng khoán không?","Ngành Kế toán học môn Thị trường chứng khoán trong Học Kỳ Thứ 5.","Ngành Kế toán không học môn Thị trường chứng khoán."
"Ngành Kế toán có học môn Đồ án nguyên lý kế toán không?","Ngành Kế toán học môn Đồ án nguyên lý kế toán trong Học Kỳ Thứ 5.","Ngành Kế toán không học môn Đồ án nguyên lý kế toán."
"Ngành Kế toán có học môn Lý thuyết tài chính công không?","Ngành Kế toán học môn Lý thuyết tài chính công trong Học Kỳ Thứ 5.","Ngành Kế toán không học môn Lý thuyết tài chính công."
"Ngành Kế toán có học môn Kế toán thương mại dịch vụ không?","Ngành Kế toán học môn Kế toán thương mại dịch vụ trong Học Kỳ Thứ 6.","Ngành Kế toán không học môn Kế toán thương mại dịch vụ."
"Ngành Kế toán có học môn Kế toán ngân sách nhà nước không?","Ngành Kế toán học môn Kế toán ngân sách nhà nước trong Học Kỳ Thứ 7.","Ngành Kế toán không học môn Kế toán ngân sách nhà nước."
"Ngành Kế toán có học môn Quản lý tài chính công trong đơn vị công không?","Ngành Kế toán học môn Quản lý tài chính công trong đơn vị công trong Học Kỳ Thứ 7.","Ngành Kế toán không học môn Quản lý tài chính công trong đơn vị công."
"Ngành Kế toán có học môn Đồ án kế toán công không?","Ngành Kế toán học môn Đồ án kế toán công trong Học Kỳ Thứ 7.","Ngành Kế toán không học môn Đồ án kế toán công."
"Ngành Kế toán có học môn Đồ án kế toán tài chính 2 không?","Ngành Kế toán học môn Đồ án kế toán tài chính 2 trong Học Kỳ Thứ 7.","Ngành Kế toán không học môn Đồ án kế toán tài chính 2."
"Ngành Kế toán có học môn Đồ án kế toán quản trị không?","Ngành Kế toán học môn Đồ án kế toán quản trị trong Học Kỳ Thứ 6.","Ngành Kế toán không học môn Đồ án kế toán quản trị."
"Ngành Kế toán có học môn Thực tập nghiệp vụ kế toán tại các đơn vị công không?","Ngành Kế toán học môn Thực tập nghiệp vụ kế toán tại các đơn vị công trong Học Kỳ Thứ 6.","Ngành Kế toán không học môn Thực tập nghiệp vụ kế toán tại các đơn vị công."
"Ngành Kế toán có học môn Tin học ứng dụng trong kinh tế không?","Ngành Kế toán học môn Tin học ứng dụng trong kinh tế trong Học Kỳ Thứ 7.","Ngành Kế toán không học môn Tin học ứng dụng trong kinh tế."
"Ngành Kế toán có học môn Tổ chức công tác kế toán trong doanh nghiệp không?","Ngành Kế toán học môn Tổ chức công tác kế toán trong doanh nghiệp trong Học Kỳ Thứ 7.","Ngành Kế toán không học môn Tổ chức công tác kế toán trong doanh nghiệp."
"Ngành Kế toán có học môn Thực tập doanh nghiệp không?","Ngành Kế toán học môn Thực tập doanh nghiệp trong Học Kỳ Thứ 8.","Ngành Kế toán không học môn Thực tập doanh nghiệp."
"Ngành Kế toán có học môn Đồ án tốt nghiệp không?","Ngành Kế toán học môn Đồ án tốt nghiệp trong Học Kỳ Thứ 8.","Ngành Kế toán không học môn Đồ án tốt nghiệp."
"Ngành Công nghệ thông tin học những môn gì trong Học Kỳ Thứ 1?","Trong Học Kỳ Thứ 1, ngành Công nghệ thông tin học Đại số tuyến tính, Giải tích 1, Xác suất thống kê, Tiếng Anh 1, Giáo dục thể chất 1, Triết học Mác - Lênin, Nhập môn ngành CNTT.","Trong Học Kỳ Thứ 1, ngành Công nghệ thông tin học các môn về lập trình và cơ sở dữ liệu."
"Ngành Công nghệ thông tin học những môn gì trong Học Kỳ Thứ 2?","Trong Học Kỳ Thứ 2, ngành Công nghệ thông tin học Giải tích 2, Phương pháp tính, Thí nghiệm vật lý 1, Vật lý đại cương 1, Tiếng Anh 2, Giáo dục thể chất 2, Kinh tế chính trị Mác - Lênin, Cơ sở lập trình.","Trong Học Kỳ Thứ 2, ngành Công nghệ thông tin học các môn về hệ thống thông tin và công nghệ phần mềm."
"Ngành Công nghệ thông tin học những môn gì trong Học Kỳ Thứ 3?","Trong Học Kỳ Thứ 3, ngành Công nghệ thông tin học Hóa học đại cương phần 1 + TN, Giáo dục thể chất 3, Chủ nghĩa xã hội khoa học, Nguyên lý Hệ điều hành, Cơ sở dữ liệu, Kỹ thuật lập trình hướng đối tượng với C++ + BTL, Kiến trúc máy tính, Tin học Kinh tế, Công nghệ phần mềm, Mạng máy tính, Khoa học máy tính ứng dụng, Công nghệ thông tin địa học, Hệ thống thông tin.","Trong Học Kỳ Thứ 3, ngành Công nghệ thông tin học các môn về an ninh mạng và phát triển ứng dụng di động."
"Ngành Công nghệ thông tin học những môn gì trong Học Kỳ Thứ 4?","Trong Học Kỳ Thứ 4, ngành Công nghệ thông tin học Tư tưởng Hồ Chí Minh, Cấu trúc dữ liệu và giải thuật, Hệ quản trị cơ sở dữ liệu, Lập trình hướng đối tượng với Java, Mạng máy tính + BTL, Công tác quốc phòng - an ninh, Tin học Kinh tế, Công nghệ phần mềm, Mạng máy tính, Khoa học máy tính ứng dụng, Công nghệ thông tin địa học, Hệ thống thông tin.","Trong Học Kỳ Thứ 4, ngành Công nghệ thông tin học các môn về phát triển ứng dụng Web và khoa học dữ liệu."
"Ngành Công nghệ thông tin học những môn gì trong Học Kỳ Thứ 5?","Trong Học Kỳ Thứ 5, ngành Công nghệ thông tin học Lịch sử Đảng Cộng sản Việt Nam, Mã nguồn mở, Phát triển ứng dụng Web + BTL, Khoa học dữ liệu, Cơ sở an ninh mạng, Kiến trúc và hạ tầng mạng IoT, Đường lối quân sự của Đảng.","Trong Học Kỳ Thứ 5, ngành Công nghệ thông tin học các môn về mạng máy tính và bảo mật thông tin."
"Ngành Công nghệ thông tin có học môn Giải tích 1 không?","Ngành Công nghệ thông tin học môn Giải tích 1 trong Học Kỳ Thứ 1.","Ngành Công nghệ thông tin không học môn Giải tích 1."
"Ngành Công nghệ thông tin có học môn Cơ sở lập trình không?","Ngành Công nghệ thông tin học môn Cơ sở lập trình trong Học Kỳ Thứ 2.","Ngành Công nghệ thông tin không học môn Cơ sở lập trình."
"Ngành Công nghệ thông tin có học môn Nguyên lý Hệ điều hành không?","Ngành Công nghệ thông tin học môn Nguyên lý Hệ điều hành trong Học Kỳ Thứ 3.","Ngành Công nghệ thông tin không học môn Nguyên lý Hệ điều hành."
"Ngành Công nghệ thông tin có học môn Cơ sở dữ liệu không?","Ngành Công nghệ thông tin học môn Cơ sở dữ liệu trong Học Kỳ Thứ 3.","Ngành Công nghệ thông tin không học môn Cơ sở dữ liệu."
"Ngành Công nghệ thông tin có học môn Lập trình hướng đối tượng không?","Ngành Công nghệ thông tin học môn Lập trình hướng đối tượng với C++ trong Học Kỳ Thứ 3 và Java trong Học Kỳ Thứ 4.","Ngành Công nghệ thông tin không học môn Lập trình hướng đối tượng."
"Ngành Công nghệ thông tin có học môn Kiến trúc máy tính không?","Ngành Công nghệ thông tin học môn Kiến trúc máy tính trong Học Kỳ Thứ 3.","Ngành Công nghệ thông tin không học môn Kiến trúc máy tính."
"Ngành Công nghệ thông tin có học môn Mạng máy tính không?","Ngành Công nghệ thông tin học môn Mạng máy tính trong Học Kỳ Thứ 3 và Học Kỳ Thứ 4.","Ngành Công nghệ thông tin không học môn Mạng máy tính."
"Ngành Công nghệ thông tin có học môn Công nghệ phần mềm không?","Ngành Công nghệ thông tin học môn Công nghệ phần mềm trong Học Kỳ Thứ 3 và Học Kỳ Thứ 4.","Ngành Công nghệ thông tin không học môn Công nghệ phần mềm."
"Ngành Công nghệ thông tin có học môn Phát triển ứng dụng Web không?","Ngành Công nghệ thông tin học môn Phát triển ứng dụng Web trong Học Kỳ Thứ 5.","Ngành Công nghệ thông tin không học môn Phát triển ứng dụng Web."
"Ngành Công nghệ thông tin có học môn Khoa học dữ liệu không?","Ngành Công nghệ thông tin học môn Khoa học dữ liệu trong Học Kỳ Thứ 5.","Ngành Công nghệ thông tin không học môn Khoa học dữ liệu."
"Ngành Công nghệ thông tin có học môn Mã nguồn mở không?","Ngành Công nghệ thông tin học môn Mã nguồn mở trong Học Kỳ Thứ 5.","Ngành Công nghệ thông tin không học môn Mã nguồn mở."
"Ngành Công nghệ thông tin có học môn Cơ sở an ninh mạng không?","Ngành Công nghệ thông tin học môn Cơ sở an ninh mạng trong Học Kỳ Thứ 5.","Ngành Công nghệ thông tin không học môn Cơ sở an ninh mạng."
"Ngành Công nghệ thông tin có học môn Kiến trúc và hạ tầng mạng IoT không?","Ngành Công nghệ thông tin học môn Kiến trúc và hạ tầng mạng IoT trong Học Kỳ Thứ 5.","Ngành Công nghệ thông tin không học môn Kiến trúc và hạ tầng mạng IoT."
"Ngành Công nghệ thông tin có học môn Lập trình hướng đối tượng với Java không?","Ngành Công nghệ thông tin học môn Lập trình hướng đối tượng với Java trong Học Kỳ Thứ 4.","Ngành Công nghệ thông tin không học môn Lập trình hướng đối tượng với Java."
"Ngành Công nghệ thông tin có học môn Hệ quản trị cơ sở dữ liệu không?","Ngành Công nghệ thông tin học môn Hệ quản trị cơ sở dữ liệu trong Học Kỳ Thứ 4.","Ngành Công nghệ thông tin không học môn Hệ quản trị cơ sở dữ liệu."
"Ngành Công nghệ thông tin có học môn Tư tưởng Hồ Chí Minh không?","Ngành Công nghệ thông tin học môn Tư tưởng Hồ Chí Minh trong Học Kỳ Thứ 4.","Ngành Công nghệ thông tin không học môn Tư tưởng Hồ Chí Minh."
"Ngành Công nghệ thông tin có học môn Đường lối quân sự của Đảng không?","Ngành Công nghệ thông tin học môn Đường lối quân sự của Đảng trong Học Kỳ Thứ 5.","Ngành Công nghệ thông tin không học môn Đường lối quân sự của Đảng."
"Ngành Công nghệ thông tin có học môn Công tác quốc phòng - an ninh không?","Ngành Công nghệ thông tin học môn Công tác quốc phòng - an ninh trong Học Kỳ Thứ 4.","Ngành Công nghệ thông tin không học môn Công tác quốc phòng - an ninh."
"Ngành Công nghệ thông tin có học môn Hóa học đại cương phần 1 không?","Ngành Công nghệ thông tin học môn Hóa học đại cương phần 1 trong Học Kỳ Thứ 3.","Ngành Công nghệ thông tin không học môn Hóa học đại cương phần 1."
"Ngành Công nghệ thông tin có học môn Hệ thống thông tin không?","Ngành Công nghệ thông tin học môn Hệ thống thông tin trong Học Kỳ Thứ 3 và Học Kỳ Thứ 4.","Ngành Công nghệ thông tin không học môn Hệ thống thông tin."
"Ngành Công nghệ thông tin học những môn gì trong Học Kỳ Thứ 6?","Trong Học Kỳ Thứ 6, ngành Công nghệ thông tin học Pháp luật đại cương, Phân tích & thiết kế hệ thống + BTL, Tri thức nhận tạo + BTL, Phát triển ứng dụng IoT, Thương mại điện tử, Quản sự chung và chiến thuật.","Trong Học Kỳ Thứ 6, ngành Công nghệ thông tin học các môn về an ninh mạng và quản trị mạng."
"Ngành Công nghệ thông tin học những môn gì trong Học Kỳ Thứ 7?","Trong Học Kỳ Thứ 7, ngành Công nghệ thông tin học Điện toán đám mây và ứng dụng, Tin học Kinh tế, Công nghệ phần mềm, Kế toán máy, Lập trình .NET 1 + BTL, Phân tích, thiết kế hướng đối tượng với UML, Mạng máy tính, Quản trị mạng + BTL, Khoa học máy tính ứng dụng, Khai phá dữ liệu, Hệ thống thông tin địa lý (GIS), Thông tin địa học đại cương, Hệ thống phân tán, Học máy thống kê.","Trong Học Kỳ Thứ 7, ngành Công nghệ thông tin học các môn về khoa học dữ liệu và hệ thống thông tin."
"Ngành Công nghệ thông tin học những môn gì trong Học Kỳ Thứ 8?","Trong Học Kỳ Thứ 8, ngành Công nghệ thông tin học Phát triển phần mềm quản lý, Quản trị hệ thống + BTL, An ninh mạng + BTL, Kỹ nghệ tri thức và học máy, Hệ thống cơ sở dữ liệu không gian, Các hệ cơ sở tri thức.","Trong Học Kỳ Thứ 8, ngành Công nghệ thông tin học các môn về quản trị mạng và phát triển phần mềm."
"Ngành Công nghệ thông tin học những môn gì trong Học Kỳ Thứ 9?","Trong Học Kỳ Thứ 9, ngành Công nghệ thông tin học Thực tập doanh nghiệp và Đồ án tốt nghiệp.","Trong Học Kỳ Thứ 9, ngành Công nghệ thông tin học các môn về công nghệ phần mềm và khoa học dữ liệu."
"Ngành Công nghệ thông tin có học môn Phân tích & thiết kế hệ thống không?","Ngành Công nghệ thông tin học môn Phân tích & thiết kế hệ thống trong Học Kỳ Thứ 6.","Ngành Công nghệ thông tin không học môn Phân tích & thiết kế hệ thống."
"Ngành Công nghệ thông tin có học môn Phát triển ứng dụng IoT không?","Ngành Công nghệ thông tin học môn Phát triển ứng dụng IoT trong Học Kỳ Thứ 6.","Ngành Công nghệ thông tin không học môn Phát triển ứng dụng IoT."
"Ngành Công nghệ thông tin có học môn Thương mại điện tử không?","Ngành Công nghệ thông tin học môn Thương mại điện tử trong Học Kỳ Thứ 6.","Ngành Công nghệ thông tin không học môn Thương mại điện tử."
"Ngành Công nghệ thông tin có học môn Quản sự chung và chiến thuật không?","Ngành Công nghệ thông tin học môn Quản sự chung và chiến thuật trong Học Kỳ Thứ 6.","Ngành Công nghệ thông tin không học môn Quản sự chung và chiến thuật."
"Ngành Công nghệ thông tin có học môn Điện toán đám mây và ứng dụng không?","Ngành Công nghệ thông tin học môn Điện toán đám mây và ứng dụng trong Học Kỳ Thứ 7.","Ngành Công nghệ thông tin không học môn Điện toán đám mây và ứng dụng."
"Ngành Công nghệ thông tin có học môn Lập trình .NET không?","Ngành Công nghệ thông tin học môn Lập trình .NET 1 trong Học Kỳ Thứ 7.","Ngành Công nghệ thông tin không học môn Lập trình .NET."
"Ngành Công nghệ thông tin có học môn Phân tích, thiết kế hướng đối tượng với UML không?","Ngành Công nghệ thông tin học môn Phân tích, thiết kế hướng đối tượng với UML trong Học Kỳ Thứ 7.","Ngành Công nghệ thông tin không học môn Phân tích, thiết kế hướng đối tượng với UML."
"Ngành Công nghệ thông tin có học môn Mạng máy tính không?","Ngành Công nghệ thông tin học môn Mạng máy tính trong Học Kỳ Thứ 7.","Ngành Công nghệ thông tin không học môn Mạng máy tính."
"Ngành Công nghệ thông tin có học môn Quản trị mạng không?","Ngành Công nghệ thông tin học môn Quản trị mạng trong Học Kỳ Thứ 7.","Ngành Công nghệ thông tin không học môn Quản trị mạng."
"Ngành Công nghệ thông tin có học môn Hệ thống thông tin địa lý (GIS) không?","Ngành Công nghệ thông tin học môn Hệ thống thông tin địa lý (GIS) trong Học Kỳ Thứ 7.","Ngành Công nghệ thông tin không học môn Hệ thống thông tin địa lý (GIS)."
"Ngành Công nghệ thông tin có học môn Hệ thống phân tán không?","Ngành Công nghệ thông tin học môn Hệ thống phân tán trong Học Kỳ Thứ 7.","Ngành Công nghệ thông tin không học môn Hệ thống phân tán."
